event_id,lat,lon,note
1851_great_exhibition_open,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1887_victoria_golden_jubilee,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1897_victoria_diamond_jubilee,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1900_exposition_paris_open,48.8589,2.32,"Nominatim: Paris, Île-de-France, France métropolitaine, France"
1911_george_v_coronation,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1919_paris_peace_treaty,48.8035,2.1267,"Nominatim: Versailles, Yvelines, Île-de-France, France métropolitaine, 78000, France"
1937_george_vi_coronation,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1945_ve_day_london,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1945_ve_day_paris,48.8589,2.32,"Nominatim: Paris, Île-de-France, France métropolitaine, France"
1953_elizabeth_ii_coronation,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1963_jfk_funeral,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
1963_march_on_washington,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
1965_selma_march,32.4079,-87.0207,"Nominatim: Selma, Dallas County, Alabama, United States"
1969_moon_landing_crowds,28.6126,-80.808,"Nominatim: Titusville, Brevard County, Florida, United States"
1969_woodstock,60.7947,-161.7619,"Nominatim: Bethel, Unorganized Borough, Alaska, 99559, United States"
1977_silver_jubilee,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1981_charles_diana_wedding,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1985_live_aid_london,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1985_live_aid_philadelphia,39.9527,-75.1635,"Nominatim: Philadelphia, Philadelphia County, Pennsylvania, United States"
1989_berlin_wall_fall,52.5174,13.3951,"Nominatim: Berlin, Deutschland"
1990_mandela_release_concert,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
1995_million_man_march,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
1997_diana_funeral,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2002_golden_jubilee,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2003_iraq_war_protest_london,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2003_iraq_war_protest_rome,41.8933,12.4829,"Nominatim: Roma, Roma Capitale, Lazio, Italia"
2005_live_8_london,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2009_obama_inauguration,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
2011_william_kate_wedding,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2012_diamond_jubilee,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2013_mandela_funeral,-26.205,28.0497,"Nominatim: Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
2014_world_cup_final,-22.911,-43.2094,"Nominatim: Rio de Janeiro, Região Sudeste, Brasil"
2015_paris_je_suis_charlie,48.8589,2.32,"Nominatim: Paris, Île-de-France, France métropolitaine, France"
2017_womens_march_washington,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
2018_us_climate_march,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
2019_climate_strike_september,40.7127,-74.006,"Nominatim: New York, United States"
2019_hong_kong_june_16_march,22.3492,114.1858,"Nominatim: 香港 Hong Kong, 中国"
2020_blm_dc_june_6,38.8951,-77.0364,"Nominatim: Washington, District of Columbia, United States"
2022_qe2_funeral,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2023_charles_iii_coronation,51.5074,-0.1278,"Nominatim: Greater London, England, United Kingdom"
2024_taylor_swift_eras_paris,48.8589,2.32,"Nominatim: Paris, Île-de-France, France métropolitaine, France"
