label,or,ci_low,ci_high,n
Event type: state_massacre_or_genocide,1.064743052665004,0.910249825803833,1.245457824940808,19
Event type: military_coup_or_putsch,1.0121539626473846,0.8086017414204161,1.2669471157744616,5
Event type: civilian_uprising_or_riot,1.0964630056715552,1.0306879024314333,1.1664356591070781,78
Duration: single_day,1.033280054072121,0.8960098077670806,1.1915803386170383,19
Duration: short_multi_day_2_3,1.1638115607045905,1.0387901740805239,1.3038796309644929,27
Duration: long_multi_day_4_plus,1.0744773011201474,1.001419388364133,1.1528651073037142,58
Hemisphere: Southern,1.0561572246092492,0.762789547070205,1.4623536562328474,6
Hemisphere: Northern,1.0898541160552218,1.030580212419776,1.1525371630157997,98
Era: era5_2000_2026,1.0655583954015513,0.9716818024423368,1.1685046392315335,30
Era: era4_1970_2000,1.1326436196021805,1.003746315896205,1.2780934273019928,23
Era: era3_1920_1970,1.09935727480972,0.986257060735664,1.225427391896745,22
Era: era2_1850_1920,1.0454049856644674,0.8980209071354166,1.2169778847780501,19
Era: era1_1750_1850,1.1339845375126745,0.9080202349513501,1.416180919565885,10
All resolved (n=104),1.088858327454288,1.030459084365216,1.1505672328532202,104
